Country,CountryCode,Area (km2),Economic Status (World Bank),World Region,EnergyUse_2004 (kg oil equiv per capita),Year,Population,Births,Deaths,GDP ($US),MilitaryExpenditure_2005 (%GDP),Life Expectancy (male),Life Expectancy (female),Infant Deaths (male),Infant Deaths (female)
Venezuela,VEN,882050,Upper middle income,Latin America and Caribbean,2149.423968,2001,23843874,565577,120173,1.23E+11,1.107245447,69.3,75.4,8531,6016
Vietnam,VNM,325360,Low income,East Asia and Pacific,612.1779751,2001,79999453,1463190,502397,32506755072,,67.1,72.5,22603,20342
Virgin Islands (U.S.),VIR,346,High income: nonOECD,Latin America and Caribbean,,2001,108749,1668,614, ,,74.4,82.4,9,6
Yemen,YEM,527970,Low income,Middle East and North Africa,313.3400107,2001,18094479,784034,172802,9459570688,5.042132976,58.5,62.1,29536,23904
Zambia,ZMB,740724,Low income,Sub-Saharan Africa,604.8496344,2001,10439789,446614,245335,3636920064,,36.5,36.5,23505,21317
Zimbabwe,ZWE,386670,Low income,Sub-Saharan Africa,718.9848407,2001,11844109,342058,253938,10256463872,,40.1,38.8,10153,8794
Aruba,ABW,193,High income: nonOECD,Latin America and Caribbean,,2002,92170,1201,701,1911173248,,70.5,76.6,15,7
Andorra,ADO,468,High income: nonOECD,Europe and Central Asia,,2002,68403,682,381, ,,80.6,86.6,2,1
Afghanistan,AFG,647500,Low income,South Asia,,2002,25268405,1202018,555905,4036688640,,41.4,41.8,111374,95217
Angola,AGO,1246700,Lower middle income,Sub-Saharan Africa,612.5222716,2002,10760510,503699,288059,11431738368,5.042401356,35.5,37,53237,44989
Albania,ALB,27398,Lower middle income,Europe and Central Asia,760.0298227,2002,3508512,53294,16911,4456470528,1.4132621,73.9,79.8,705,574
Netherlands Antilles,ANT,960,High income: nonOECD,Latin America and Caribbean,9498.534859,2002,214337,3462,1352, ,,73,77.5,21,18
United Arab Emirates,ARE,83600,High income: nonOECD,Middle East and North Africa,10141.89815,2002,3558098,58068,8184,74569637888,1.92702949,72.1,77.1,554,370
Argentina,ARG,2736690,Upper middle income,Latin America and Caribbean,1660.476009,2002,38331121,679227,290933,1.02E+11,0.969284549,71.5,79.2,6509,4814
Armenia,ARM,28400,Lower middle income,Europe and Central Asia,703.5483755,2002,3013818,32851,24231,2376335104,2.718621804,67.2,74.6,555,300
American Samoa,ASM,199,Upper middle income,East Asia and Pacific,,2002,57716,1574,203, ,,71.6,79,9,7
Antigua and Barbuda,ATG,443,High income: nonOECD,Latin America and Caribbean,,2002,67448,1271,388,714677760,,68.7,73.5,16,11
Australia,AUS,7617930,High income: OECD,East Asia and Pacific,5762.29345,2002,19546792,248440,141714,4.25E+11,1.778029926,77.2,83,676,541
Austria,AUT,82444,High income: OECD,Europe and Central Asia,4059.843175,2002,8148312,74476,75779,2.08E+11,0.73543392,75.9,81.8,222,130
Azerbaijan,AZE,86100,Lower middle income,Europe and Central Asia,1558.798073,2002,7883781,132842,66697,6236024832,2.012377705,60.1,68.9,5337,3751
Burundi,BDI,25650,Low income,Sub-Saharan Africa,,2002,7021078,303240,104474,628096128,0.006017581,48.2,49.2,11656,9049
Belgium,BEL,30278,High income: OECD,Europe and Central Asia,5536.256815,2002,10311970,111885,105079,2.52E+11,1.239520631,74.9,81.4,316,233
Benin,BEN,110620,Low income,Sub-Saharan Africa,302.6705448,2002,7026113,290670,93026,2807357440,,50.6,52.9,13426,11665
Burkina Faso,BFA,273800,Low income,Sub-Saharan Africa,,2002,12251209,575562,208761,3203345920,1.336649433,45.7,48.4,30810,25284
Bangladesh,BGD,133910,Low income,South Asia,163.6969911,2002,135656790,4024937,1185640,47513219072,1.137690936,61.1,60.8,143187,130066
Bulgaria,BGR,110550,Upper middle income,Europe and Central Asia,2434.262948,2002,7661799,73553,109257,15600423936,2.35060963,67.6,75,1018,666
Bahrain,BHR,665,High income: nonOECD,Middle East and North Africa,10469.11235,2002,656397,12819,2593,8448363008,,71,76,145,101
The Bahamas,BHS,10070,High income: nonOECD,Latin America and Caribbean,,2002,295131,5590,2523,5400000000,0.650755194,62.4,69.2,93,56
Bosnia and Herzegovina,BIH,51129,Lower middle income,Europe and Central Asia,1203.229382,2002,4165416,36489,30824,6141587456,1.755904409,73.6,81.2,202,134
Belarus,BLR,207600,Lower middle income,Europe and Central Asia,2725.439794,2002,9955189,88701,146640,14594925568,1.244738826,62.4,74.4,391,294
Belize,BLZ,22806,Upper middle income,Latin America and Caribbean,,2002,261138,8111,1462,932150016,,66.5,70.7,129,93
Bermuda,BMU,53,High income: nonOECD,North America,,2002,64004,798,473, ,,75.2,79.3,4,3
Bolivia,BOL,1084390,Lower middle income,Latin America and Caribbean,552.5557925,2002,8445134,223036,67983,7905485312,1.872527226,61.9,67.1,6992,5837
Brazil,BRA,8456510,Upper middle income,Latin America and Caribbean,1113.828357,2002,179914212,3247452,1101075,5.06E+11,1.417634742,66.9,75,61176,45535
Barbados,BRB,431,High income: nonOECD,Latin America and Caribbean,,2002,275673,3658,2481,2462188544,,70,74.1,27,20
Brunei,BRN,5270,High income: nonOECD,East Asia and Pacific,7369.690473,2002,339989,7463,1129,4273260288,,72.2,76.1,70,46
Bhutan,BTN,47000,Lower middle income,South Asia,,2002,2094176,73841,28774,544577920,,53.5,52.8,3974,3911
Botswana,BWA,585370,Upper middle income,Sub-Saharan Africa,1054.803426,2002,1689109,42954,29289,5933278720,2.453672834,45.3,44.5,1055,945
Central African Republic,CAF,622984,Low income,Sub-Saharan Africa,,2002,4048013,144393,76629,1045928768,1.1244808,43.1,44,7348,5991
Canada,CAN,9093507,High income: OECD,North America,8410.641158,2002,31902268,353796,240543,7.24E+11,1.139443837,76.3,83.2,983,768
Switzerland,CHE,39770,High income: OECD,Europe and Central Asia,3671.791364,2002,7361757,73470,61765,2.76E+11,0.964936213,77.4,83.1,189,142
Chile,CHL,748800,Upper middle income,Latin America and Caribbean,1732.344361,2002,15497046,255081,87403,67265404928,3.666722173,72.7,79.4,1351,1088
China,CHN,9326410,Lower middle income,East Asia and Pacific,1241.629999,2002,1284275902,16490103,8874346,1.45E+12,1.974242495,69.9,72.9,202824,253127
Cote d'Ivoire,CIV,318000,Low income,Sub-Saharan Africa,387.5918027,2002,16252726,595012,248504,11482073088,,45.5,50.5,34145,22869
Cameroon,CMR,469440,Lower middle income,Sub-Saharan Africa,433.290314,2002,16094435,613842,231277,10879777792,1.322008267,49.3,50.8,25183,20603
Congo (Rep.),COG,341500,Lower middle income,Sub-Saharan Africa,273.7611407,2002,3328795,146966,48268,3019985920,,49.7,51.5,7478,6312
Colombia,COL,1038700,Lower middle income,Latin America and Caribbean,624.6313097,2002,41145126,904370,232059,81244078080,3.711013865,67,74.8,12636,8716
Comoros,COM,2170,Low income,Sub-Saharan Africa,,2002,614670,23972,5569,251163280,,58.6,63.1,1100,856
Cape Verde,CPV,4033,Lower middle income,Sub-Saharan Africa,,2002,408760,11368,2865,616209216,,66.2,72.9,331,259
Costa Rica,CRI,50660,Upper middle income,Latin America and Caribbean,869.9665674,2002,3834934,76047,16529,16844311552,,73.7,78.9,461,366
Cuba,CUB,110860,Lower middle income,Latin America and Caribbean,950.290285,2002,11202687,142274,78979, ,,74,78.3,547,396
Cayman Islands,CYM,262,High income: nonOECD,Latin America and Caribbean,,2002,40762,555,189, ,,77,82.2,3,2
Cyprus,CYP,9240,High income: nonOECD,Europe and Central Asia,3534.739119,2002,767314,9906,5855,10467040256,,74.8,79.5,49,27
Czech Republic,CZE,77276,High income: OECD,Europe and Central Asia,4460.403983,2002,10256295,92922,108306,75276075008,1.777419484,72.1,78.7,210,166
Germany,DEU,349223,High income: OECD,Europe and Central Asia,4217.787406,2002,82350671,723039,844094,2.02E+12,1.354231499,75.4,81.4,1753,1334
Djibouti,DJI,22980,Lower middle income,Middle East and North Africa,,2002,447416,18402,8720,591122048,,41.8,44.5,1090,905
Dominica,DMA,754,Upper middle income,Latin America and Caribbean,,2002,71534,1175,615,252037024,,71.9,77.8,12,6
Denmark,DNK,42394,High income: OECD,Europe and Central Asia,3716.412182,2002,5374693,64604,57832,1.74E+11,1.373307284,74.8,79.4,158,149
Dominican Republic,DOM,48380,Lower middle income,Latin America and Caribbean,821.0510805,2002,8679727,213868,47391,21624717312,0.602979438,70,73.2,3943,3288
Algeria,DZA,2381740,Lower middle income,Middle East and North Africa,1016.609065,2002,31287142,591014,145798,57053036544,2.815593944,70.7,73.7,11714,8729
Ecuador,ECU,276840,Lower middle income,Latin America and Caribbean,773.1604579,2002,12921234,312952,55691,24899481600,2.414431487,72.7,78.6,5031,3178
Egypt,EGY,995450,Lower middle income,Middle East and North Africa,783.0294511,2002,73347164,1822677,389473,87850680320,2.804085392,67.7,72.7,35271,30200
East Timor,TMP,14609,Low income,East Asia and Pacific,,2002,952618,26740,6211,343200000,,62.6,67.2,805,585
Eritrea,ERI,121320,Low income,Sub-Saharan Africa,,2002,4414865,160878,46842,630697344,,55.7,58.8,4675,3510
Spain,ESP,499542,High income: OECD,Europe and Central Asia,3330.932395,2002,40152517,403131,377835,6.86E+11,1.031711007,75.7,82.7,1042,816
Estonia,EST,43211,High income: nonOECD,Europe and Central Asia,3835.43787,2002,1360122,13003,18362,7308936704,1.484147549,64.9,76.8,65,46
Ethiopia,ETH,1119683,Low income,Sub-Saharan Africa,302.7265124,2002,67946797,2756602,1065406,7428845056,3.048844388,47.1,49.5,154606,121661
Finland,FIN,304473,High income: OECD,Europe and Central Asia,7285.76069,2002,5193039,55721,49230,1.33E+11,1.214911211,74.6,81.6,112,90
Fiji,FJI,18270,Lower middle income,East Asia and Pacific,,2002,856346,19867,4898,1796790016,,66.1,71.1,154,119
France,FRA,640053,High income: OECD,Europe and Central Asia,4546.659083,2002,61863851,795569,544402,1.46E+12,2.485462717,76,83.2,1635,1245
Faroe Islands,FRO,1399,High income: nonOECD,Europe and Central Asia,,2002,46011,632,400, ,,75.3,82.2,2,2
Micronesia,FSM,702,Lower middle income,East Asia and Pacific,,2002,108071,2934,567,223700000,,67.1,70.6,55,43
Gabon,GAB,257667,Upper middle income,Sub-Saharan Africa,1242.722951,2002,1299304,47723,14851,4931503616,1.334529284,54.9,58.4,1640,1108
United Kingdom,GBR,241590,High income: OECD,Europe and Central Asia,3905.602639,2002,59912431,665627,612305,1.57E+12,2.592997526,75.7,80.6,2041,1513
Georgia,GEO,69700,Lower middle income,Europe and Central Asia,625.9433141,2002,4728357,46716,41373,3395778560,3.14087863,71.8,79,586,393
Ghana,GHA,230940,Low income,Sub-Saharan Africa,385.6088417,2002,20639112,686044,213202,6157257728,0.746560785,56.8,58.3,22767,18499
Guinea,GIN,245857,Low income,Sub-Saharan Africa,,2002,8807818,376534,141454,3208304384,,47.8,50.3,19370,16608
Gambia,GMB,10000,Low income,Sub-Saharan Africa,,2002,1457766,60308,19301,369731936,0.343702573,50.9,54.7,2570,2100
Guinea-Bissau,GNB,28000,Low income,Sub-Saharan Africa,,2002,1333120,51712,22796,201448336,,44.2,48.4,3244,2593
Equatorial Guinea,GNQ,28051,Upper middle income,Sub-Saharan Africa,,2002,495627,18467,7271,2165948928,,48.7,53,963,823
Greece,GRC,130800,High income: OECD,Europe and Central Asia,2754.717834,2002,10603863,102964,105721,1.35E+11,4.483997785,76.2,81.2,341,261
Grenada,GRD,344,Upper middle income,Latin America and Caribbean,,2002,89211,2056,681,407522208,,62.7,66.3,15,15
Greenland,GRL,410449,High income: nonOECD,Europe and Central Asia,,2002,56376,917,429, ,,65.1,72.3,9,7
Guatemala,GTM,108430,Lower middle income,Latin America and Caribbean,615.6264188,2002,11506669,366257,66163,23268237312,0.414328041,66.5,69.8,7131,5750
Guam,GUM,541,High income: nonOECD,East Asia and Pacific,,2002,161057,3223,659, ,,76,80.6,9,10
Guyana,GUY,196850,Lower middle income,Latin America and Caribbean,,2002,759104,14294,6483,722460864,,61.7,66.8,294,223
Hong Kong,HKG,1042,High income: nonOECD,East Asia and Pacific,2487.577369,2002,6762476,48757,38411,1.64E+11,,78.5,84.1,81,65
Honduras,HND,111890,Lower middle income,Latin America and Caribbean,547.5058124,2002,6677328,210336,34789,6509512192,0.637029614,67.6,70.9,3463,2534
Croatia,HRV,56414,Upper middle income,Europe and Central Asia,1985.212195,2002,4481020,41942,50143,23046494208,1.577248181,69,78.2,163,141
Haiti,HTI,27560,Low income,Latin America and Caribbean,262.2832728,2002,7759097,283052,94816,3489793536,,52.2,54.6,11073,9386
Hungary,HUN,92340,Upper middle income,Europe and Central Asia,2607.574071,2002,10083313,97707,132091,66710310912,1.312566908,67.9,76.3,477,393
Isle of Man,IMY,572,High income: nonOECD,Europe and Central Asia,,2002,73873,849,863,1897606784,,74.4,81.4,3,2
India,IND,2973190,Low income,South Asia,530.5545572,2002,1039690529,25805119,8026411,5.08E+11,2.872983219,63.1,67.3,734162,510677
Ireland,IRL,68890,High income: OECD,Europe and Central Asia,3737.541324,2002,3879155,55899,31188,1.23E+11,0.568766648,74.3,79.8,182,138
Indonesia,IDN,1826440,Lower middle income,East Asia and Pacific,799.8713242,2002,220018666,4763404,1397119,1.96E+11,0.921233921,66.2,71.1,107925,74085
Iran,IRN,1636000,Lower middle income,Middle East and North Africa,2166.451867,2002,63941906,975753,349123,1.16E+11,4.464694043,67.8,70.4,22352,21118
Iraq,IRQ,432162,Lower middle income,Middle East and North Africa,1083.488176,2002,24001816,820862,144491,18969591808,,66.3,68.5,26700,20590
Iceland,ISL,100250,High income: OECD,Europe and Central Asia,11975.50881,2002,288030,4047,1826,8722945024,0,78.3,82.1,7,6
Israel,ISR,20330,High income: nonOECD,Middle East and North Africa,3048.871904,2002,6029529,114018,37443,1.04E+11,7.92497824,76.8,81,487,374
Italy,ITA,294020,High income: OECD,Europe and Central Asia,3170.761474,2002,57926999,538142,581008,1.22E+12,1.771540085,76.3,82.4,1936,1470
Jamaica,JAM,10831,Lower middle income,Latin America and Caribbean,1540.878123,2002,2664659,60008,17107,8597630976,0.714497526,71.7,75.2,558,486
Jordan,JOR,91971,Lower middle income,Middle East and North Africa,1232.325142,2002,5307470,130458,13906,9582199808,7.667088507,75.3,80.3,1569,989
Japan,JPN,374744,High income: OECD,East Asia and Pacific,4173.360049,2002,127187243,1181569,979342,3.90E+12,0.974068909,78.3,85.2,1904,1546
Kazakhstan,KAZ,2669800,Upper middle income,Europe and Central Asia,3651.46636,2002,15077224,227365,149114,24636598272,1.064093351,59.7,70.8,4467,3125
Kenya,KEN,569250,Low income,Sub-Saharan Africa,505.5676836,2002,32155316,1293287,412874,12914544640,1.422740544,51.6,51.5,50817,34747
Kyrgyz Republic,KGZ,191300,Low income,Europe and Central Asia,545.868463,2002,4959164,107019,36251,1605640576,,63.2,71.4,2463,1741
Cambodia,KHM,176520,Low income,East Asia and Pacific,,2002,12848004,338545,111906,4286207232,1.782630309,57.3,61.6,13504,10387
Kiribati,KIR,811,Lower middle income,East Asia and Pacific,,2002,96335,3042,844,48299468,,57.6,63.6,90,70
St. Kitts and Nevis,KNA,261,Upper middle income,Latin America and Caribbean,,2002,38736,721,350,350959264,,68.5,74.3,6,5
South Korea,KOR,98190,High income: OECD,East Asia and Pacific,4430.85308,2002,47969150,494562,257594,5.47E+11,2.569103821,72.8,80,1817,1472
Kuwait,KWT,17820,High income: nonOECD,Middle East and North Africa,10211.69119,2002,2111561,46116,5194,38122348544,5.740206947,75.6,77.4,279,222
Laos,LAO,230800,Low income,East Asia and Pacific,,2002,5777564,216023,73317,1829792256,,52,55.9,11122,8504
Lebanon,LBN,10230,Upper middle income,Middle East and North Africa,1361.197571,2002,3680786,73395,23152,18712438784,,69.4,74.3,1153,890
Liberia,LBR,96320,Low income,Sub-Saharan Africa,,2002,2816120,130978,70994,559299968,,35.4,40.3,12763,10125
Libya,LBY,1759540,Upper middle income,Middle East and North Africa,3169.430475,2002,5368585,148119,18790,19195234304,,73.7,78.1,2295,1838
St. Lucia,LCA,606,Upper middle income,Latin America and Caribbean,,2002,160145,3422,849,682137024,,69.3,76.6,29,22
Liechtenstein,LIE,160,High income: nonOECD,Europe and Central Asia,,2002,32842,369,222, ,,75.5,82.7,1,1
Sri Lanka,LKA,64740,Lower middle income,South Asia,484.9964032,2002,19870066,368391,112067,16536189952,2.654091428,72.2,76,4357,3538
Lesotho,LSO,30355,Lower middle income,Sub-Saharan Africa,,2002,2098200,57428,44943,687107456,2.345892373,40.7,41.6,2723,2316
Lithuania,LTU,65200,Upper middle income,Europe and Central Asia,2665.921866,2002,3633232,30010,41056,14137047040,1.797750379,66.7,78.4,144,85
Luxembourg,LUX,2586,High income: OECD,Europe and Central Asia,10480.99142,2002,450786,5675,3823,22612647936,0.931985169,75,81.7,14,14
Latvia,LVA,63589,Upper middle income,Europe and Central Asia,1988.074025,2002,2340205,20056,32505,9314784256,1.692554602,66.2,75,115,84
Macau,MAC,28,High income: nonOECD,East Asia and Pacific,,2002,437794,3139,1751,6657668608,,79,84.8,8,6
Morocco,MAR,446300,Lower middle income,Middle East and North Africa,383.7972928,2002,31167783,738365,182643,36093087744,4.284340751,67.5,72.1,19063,15264
Monaco,MCO,2,High income: nonOECD,Europe and Central Asia,,2002,31987,307,413, ,,75.2,83.2,1,1
Moldova,MDA,33371,Lower middle income,Europe and Central Asia,862.1282645,2002,4367124,41531,47995,1661818112,0.306221181,65,72.6,372,292
Madagascar,MDG,581540,Low income,Sub-Saharan Africa,,2002,16725885,665690,159398,4397127168,,58.4,62,23540,19364
Maldives,MDV,300,Lower middle income,South Asia,,2002,320165,11977,2516,640703104,,61.7,64.2,375,367
Mexico,MEX,1923040,Upper middle income,Latin America and Caribbean,1621.512914,2002,102479927,2286327,485755,6.49E+11,0.390117136,71.7,77.3,29664,23676
Marshall Islands,MHL,181,Lower middle income,East Asia and Pacific,,2002,55163,1900,280,124060000,,67.2,71.1,36,26
Macedonia,MKD,24856,Lower middle income,Europe and Central Asia,1327.75767,2002,2030445,24162,17868,3791306752,2.204231884,70.6,75.6,138,129
Mali,MLI,1220000,Low income,Sub-Saharan Africa,,2002,10549895,536884,193907,3342815744,1.858214058,45.6,49.1,33917,27771
Malta,MLT,316,High income: nonOECD,Middle East and North Africa,2262.646399,2002,393515,3908,3065,4150612224,0.732759056,76.1,80.7,9,7
Burma (Myanmar),MMR,657740,Low income,East Asia and Pacific,282.8574506,2002,45198023,882717,439777,3121904896,,58.2,63.1,30596,21740
Montenegro,MNE,13812,Upper middle income,Europe and Central Asia,,2002,720230,8499,5517,1229166208,,73.9,79.5,50,41
Mongolia,MNG,1564116,Low income,East Asia and Pacific,,2002,2744553,57114,18087,1113982208,,63,67.6,1574,1297
Northern Mariana Islands,MNP,477,Upper middle income,East Asia and Pacific,,2002,74003,1478,174, ,,72.7,77.9,6,5
Mozambique,MOZ,784090,Low income,Sub-Saharan Africa,441.2600546,2002,18979166,783650,370853,4091708416,1.317419961,42.4,43.3,48779,45181
Mauritania,MRT,1030400,Low income,Sub-Saharan Africa,,2002,2828858,120340,37737,1149656448,0.973023031,49.4,53.7,4771,4285
Mauritius,MUS,2030,Upper middle income,Sub-Saharan Africa,,2002,1200206,19611,8173,4549396480,0.199426554,67.5,75.6,194,133
Malawi,MWI,94080,Low income,Sub-Saharan Africa,,2002,12109150,530139,252234,1934575616,,40.7,39.6,28189,25371
Malaysia,MYS,328550,Upper middle income,East Asia and Pacific,2279.018461,2002,22662365,548882,116938,95164211200,1.897871517,68.8,74.2,6441,4350
Mayotte,MYT,374,Upper middle income,Sub-Saharan Africa,,2002,170871,7450,1468, ,,58.1,62.4,282,225
Namibia,NAM,825418,Lower middle income,Sub-Saharan Africa,665.4220901,2002,1972153,56187,30549, ,3.019146278,47.1,48.4,1587,1292
New Caledonia,NCL,18575,High income: nonOECD,East Asia and Pacific,,2002,207858,4138,1168, ,,70.3,76.4,19,15
Niger,NER,1266700,Low income,Sub-Saharan Africa,,2002,11140655,575303,244315,2170481408,,42.8,42.7,40007,31192
Nigeria,NGA,910768,Low income,Sub-Saharan Africa,717.3059493,2002,119901274,4947127,2123452,46710833152,0.878368411,45.5,46.6,278114,234606
Nicaragua,NIC,120254,Lower middle income,Latin America and Caribbean,643.392981,2002,5146848,137472,23984,4026408448,0.687667478,67.4,71.5,2549,1897
Netherlands,NLD,33883,High income: OECD,Europe and Central Asia,5045.347545,2002,16122830,192829,140430,4.38E+11,1.585309276,76,81,575,439
Norway,NOR,307442,High income: OECD,Europe and Central Asia,6023.802524,2002,4535591,55969,43814,1.90E+11,1.646461036,76.4,81.7,121,92
Nepal,NPL,143181,Low income,South Asia,340.5264965,2002,25873917,852287,259515,5501001728,1.969962486,59,58.2,30526,31145
New Zealand,NZL,268021,High income: OECD,East Asia and Pacific,4344.314768,2002,3908037,55611,29506,60520026112,1.006914923,75.2,81.3,202,142
Oman,OMN,212460,Upper middle income,Middle East and North Africa,4667.218924,2002,2713462,102460,10935,20310013952,,70.2,74.6,1304,927
Pakistan,PAK,778720,Low income,South Asia,489.0857705,2002,150417571,4677986,1364287,71479361536,3.341719415,60.9,62.6,190481,178986
Panama,PAN,75990,Upper middle income,Latin America and Caribbean,801.1705152,2002,2990875,65081,15194,12272400384,,72.6,78,646,519
Peru,PER,1280000,Lower middle income,Latin America and Caribbean,478.8408959,2002,26769436,591605,170789,57056284672,1.249968989,66.9,70.3,11424,9318
Philippines,PHL,298170,Lower middle income,East Asia and Pacific,542.3868432,2002,82995088,2222608,471412,76813918208,0.815543553,66.1,72,32646,24586
Palau,PLW,458,Upper middle income,East Asia and Pacific,,2002,19409,375,138,119455000,,66.1,72.5,3,3
Papua New Guinea,PNG,452860,Low income,East Asia and Pacific,,2002,5172033,163488,40083,2992657664,0.533933118,61.7,66,5094,4148
Poland,POL,304465,Upper middle income,Europe and Central Asia,2402.742639,2002,38625976,353814,359608,1.98E+11,1.788377144,70.7,78.7,1474,1173
Puerto Rico,PRI,8870,High income: nonOECD,Latin America and Caribbean,,2002,3859606,52877,28098, ,,73.6,82.2,286,217
North Korea,PRK,120410,Low income,East Asia and Pacific,910.1681504,2002,22215365,414761,152620, ,,67.8,73.3,6024,4971
Portugal,PRT,91951,High income: OECD,Europe and Central Asia,2528.003209,2002,10433867,114460,106738,1.27E+11,2.146607082,73.7,80.5,323,260
Paraguay,PRY,397300,Lower middle income,Latin America and Caribbean,694.3571531,2002,5889557,179514,28270,4844440576,0.753255582,71.7,76.8,3327,2321
French Polynesia,PYF,3660,High income: nonOECD,East Asia and Pacific,,2002,257984,4685,1122, ,,72.9,77.7,23,17
Qatar,QAT,11437,High income: nonOECD,Middle East and North Africa,23246.44501,2002,793341,12519,3443,19363735552,,70.4,75.5,157,103
Romania,ROM,230340,Upper middle income,Europe and Central Asia,1778.427781,2002,22404337,238606,259666,45824528384,2.107639009,67.2,74.3,3946,2957
Russia,RUS,16995800,Upper middle income,Europe and Central Asia,4459.742085,2002,145162621,1396464,2331312,3.45E+11,3.740991038,58.8,72.1,11153,7965
Rwanda,RWA,24948,Low income,Sub-Saharan Africa,,2002,8686155,350399,150792,1731992576,2.171725518,44.3,45.7,17841,15503
Saudi Arabia,SAU,2149690,High income: nonOECD,Middle East and North Africa,6232.450109,2002,24501530,735536,67869,1.89E+11,8.197012629,72.8,76.8,6338,4452
Sudan,SDN,2376000,Low income,Sub-Saharan Africa,496.5235469,2002,35909122,1349106,456046,14975626240,,51.6,53.1,60245,56129
Senegal,SEN,192000,Low income,Sub-Saharan Africa,241.6143528,2002,10912546,428645,130078,4982471168,1.506590207,53.6,56.2,15403,13162
Singapore,SGP,683,High income: nonOECD,East Asia and Pacific,6034.007028,2002,4197776,41642,16077,88069062656,4.68474885,78.8,84.1,54,41
Solomon Islands,SLB,27540,Low income,East Asia and Pacific,,2002,494786,16457,2073,227789584,,69.4,74.4,227,163
Sierra Leone,SLE,71620,Low income,Sub-Saharan Africa,,2002,5359092,253378,129636,935968896,1.116185961,37.2,41.5,23588,18549
El Salvador,SLV,20720,Lower middle income,Latin America and Caribbean,663.5179999,2002,6358213,179874,38086,14306700288,0.624484501,66.7,74.1,2725,2076
San Marino,SMR,61,High income: nonOECD,Europe and Central Asia,,2002,27730,295,216,879900736,,77.8,85.2,1,1
Somalia,SOM,627337,Low income,Sub-Saharan Africa,,2002,7753310,363088,139482, ,,45.3,48.6,24332,20019
Serbia,SRB,88361,Upper middle income,Europe and Central Asia,,2002,10111559,122653,109003,16906140672,,71.2,76.2,1046,774
Sao Tome and Principe,STP,1001,Low income,Sub-Saharan Africa,,2002,170372,7207,1247,91908392,,64.5,67.5,182,160
Suriname,SUR,161470,Lower middle income,Latin America and Caribbean,,2002,444331,9175,2484,950808128,,69.2,74.7,132,86
Slovakia,SVK,48800,Upper middle income,Europe and Central Asia,3406.627418,2002,5410052,56210,51936,24517128192,1.736758967,69.6,77.7,270,182
Slovenia,SVN,20151,High income: nonOECD,Europe and Central Asia,3590.886492,2002,2011497,17641,20155,22291609600,1.665939881,71.7,79.6,48,33
Sweden,SWE,410934,High income: OECD,Europe and Central Asia,5998.335853,2002,8954175,95810,95004,2.44E+11,1.556828724,77.9,82.3,151,120
Swaziland,SWZ,17203,Lower middle income,Sub-Saharan Africa,,2002,1130269,34112,27172,1191537792,,35,38.9,1366,1203
Seychelles,SYC,455,Upper middle income,Sub-Saharan Africa,,2002,80098,1383,526,15527626752,1.736285802,65.5,76.6,15,8
Syria,SYR,184050,Lower middle income,Middle East and North Africa,992.511524,2002,17155814,516562,87838,21582247936,,67.9,70.3,8721,8186
Chad,TCD,1259200,Low income,Sub-Saharan Africa,,2002,8436193,415820,154129,1987873792,0.837520952,45.5,47.6,24892,20990
Tajikistan,TJK,142700,Low income,Europe and Central Asia,515.6650061,2002,6452011,180011,51810,1238262400,,59.1,65.3,5392,4062
Tanzania,TZA,886037,Low income,Sub-Saharan Africa,499.8666418,2002,35383103,1408247,559053,9758057472,1.030188988,46.2,47.9,61629,49425
Tonga,TON,718,Lower middle income,East Asia and Pacific,,2002,106137,2556,598,141567056,,66.1,71.1,20,15
Thailand,THA,511770,Lower middle income,East Asia and Pacific,1524.029212,2002,62806748,894368,428970,1.27E+11,1.145243954,68.6,73.7,10791,9100
Trinidad and Tobago,TTO,5128,High income: nonOECD,Latin America and Caribbean,8675.124317,2002,1101832,13949,10633,9008273408,,65.5,68.5,212,177
Togo,TGO,54385,Low income,Sub-Saharan Africa,448.8693102,2002,4977378,187149,51715,1476122496,1.575856347,54,58.4,7119,5426
Tunisia,TUN,155360,Lower middle income,Middle East and North Africa,876.2232693,2002,9770575,157990,48755,21047412736,1.490499206,72.6,75.9,2531,1867
Turkey,TUR,770760,Upper middle income,Europe and Central Asia,1151.163567,2002,67308928,1208195,400488,1.84E+11,3.225682441,69.2,74,30654,24645
Turkmenistan,TKM,488100,Lower middle income,Europe and Central Asia,3264.786113,2002,4686153,127979,31210,4462028800,,63.6,70,4452,3570
Uganda,UGA,199710,Low income,Sub-Saharan Africa,,2002,25469579,1219993,401146,5836012544,,46.1,46.4,47732,42950
United States,USA,9161923,High income: OECD,North America,7920.46381,2002,287675526,4076362,2459626,1.04E+13,4.083991401,74.1,79.7,15839,12206
Ukraine,UKR,603700,Lower middle income,Europe and Central Asia,2958.052911,2002,48056819,390702,754973,42392895488,2.355862001,62,73.9,2493,1605
Uzbekistan,UZB,425400,Low income,Europe and Central Asia,2087.580969,2002,25563441,666950,203996,9687951360,,60.4,67.6,25814,22020
St. Vincent and the Grenadines,VCT,389,Upper middle income,Latin America and Caribbean,,2002,116394,2042,712,365555552,,71.1,74.6,18,15
Venezuela,VEN,882050,Upper middle income,Latin America and Caribbean,2149.423968,2002,24191766,561975,121927,92889587712,1.107245447,69.5,75.6,8306,5828
